 ✔ Container stash Running                                                                                                     0.0s
Attaching to stash
stash  | 2026-04-23T19:02:43.682243457-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000149","requestMethod":"GET","requestPath":"/settings","requestURL":"http://192.168.42.164:9999/settings?tab=system"} httpResponse={"bytes":939,"elapsed":0.489662,"status":200} service=stash
stash  | 2026-04-23T19:02:43.958166444-03:00 WRN Response: 0 Unknown httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54021","requestID":"438a9a6f1e38/hcstIKcZuT-000121","requestMethod":"GET","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":0,"elapsed":531006.518834,"status":0} service=stash
stash  | 2026-04-23T19:02:43.995686459-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000150","requestMethod":"GET","requestPath":"/manifest.json","requestURL":"http://192.168.42.164:9999/manifest.json"} httpResponse={"bytes":381,"elapsed":0.055255,"status":200} service=stash
stash  | 2026-04-23T19:02:44.781657712-03:00 INF Response: 304 Redirect httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000152","requestMethod":"GET","requestPath":"/css","requestURL":"http://192.168.42.164:9999/css"} httpResponse={"bytes":0,"elapsed":0.042983,"status":304} service=stash
stash  | 2026-04-23T19:02:44.789141675-03:00 INF Response: 304 Redirect httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54145","requestID":"438a9a6f1e38/hcstIKcZuT-000153","requestMethod":"GET","requestPath":"/javascript","requestURL":"http://192.168.42.164:9999/javascript"} httpResponse={"bytes":0,"elapsed":0.057487,"status":304} service=stash
stash  | 2026-04-23T19:02:45.004626434-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000154","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":4549,"elapsed":2.60292,"status":200} service=stash
stash  | 2026-04-23T19:02:45.010263387-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54145","requestID":"438a9a6f1e38/hcstIKcZuT-000155","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":301,"elapsed":0.940609,"status":200} service=stash
stash  | 2026-04-23T19:02:45.016300834-03:00 INF Response: 304 Redirect httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000156","requestMethod":"GET","requestPath":"/customlocales","requestURL":"http://192.168.42.164:9999/customlocales"} httpResponse={"bytes":0,"elapsed":0.047543,"status":304} service=stash
stash  | 2026-04-23T19:02:45.203833467-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000157","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":592,"elapsed":1.728281,"status":200} service=stash
stash  | 2026-04-23T19:02:45.353317507-03:00 INF Response: 304 Redirect httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000158","requestMethod":"GET","requestPath":"/plugin/stash_renamer/javascript","requestURL":"http://192.168.42.164:9999/plugin/stash_renamer/javascript"} httpResponse={"bytes":0,"elapsed":38.506848,"status":304} service=stash
stash  | 2026-04-23T19:02:46.106671036-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000159","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":26,"elapsed":0.714315,"status":200} service=stash
stash  | 2026-04-23T19:02:46.289391966-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000160","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":26,"elapsed":0.264599,"status":200} service=stash
stash  | 2026-04-23T19:02:50.462921633-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000161","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":332,"elapsed":9.136565,"status":200} service=stash
stash  | 2026-04-23T19:02:53.952109542-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000162","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":649,"elapsed":304.320199,"status":200} service=stash
stash  | 2026-04-23T19:02:59.421721166-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000163","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":31,"elapsed":0.343036,"status":200} service=stash
stash  | INFO[2026-04-23 19:02:59] Updating package stash_renamer               
stash  | 2026-04-23T19:02:59.453272424-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000164","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":283,"elapsed":0.54029,"status":200} service=stash
stash  | 2026-04-23T19:03:00.466970288-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000165","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":283,"elapsed":0.148783,"status":200} service=stash
stash  | INFO[2026-04-23 19:03:00] Finished updating packages                   
stash  | 2026-04-23T19:03:00.543837784-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000166","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":592,"elapsed":11.588196,"status":200} service=stash
stash  | 2026-04-23T19:03:00.564384963-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54145","requestID":"438a9a6f1e38/hcstIKcZuT-000167","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":332,"elapsed":21.05227,"status":200} service=stash
stash  | 2026-04-23T19:03:00.606082693-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54148","requestID":"438a9a6f1e38/hcstIKcZuT-000168","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":649,"elapsed":18.680596,"status":200} service=stash
stash  | 2026-04-23T19:03:00.819527123-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000169","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":592,"elapsed":2.179433,"status":200} service=stash
